venda_id,produto_key,descricao,quantidade,unidade,preco_unitario,desconto,total
V000001,P023,Tubo PVC 50mm 6m,20,BR,28.06,0.0,561.2
V000001,P008,Bloco de Concreto,13,UN,3.84,0.0,49.92
V000001,P010,Ferro 8mm 12m,12,BR,37.93,0.0,455.16
V000002,P015,Tinta Acrilica 18L,17,GL,97.61,33.19,1626.18
V000002,P011,Ferro 12mm 12m,4,BR,75.56,0.0,302.24
V000002,P006,Tijolo Ceramico 9cm,6,UN,1.22,0.37,6.95
V000002,P002,Cimento CP-V 50kg,4,SC,37.42,0.0,149.68
V000002,P009,Ferro 10mm 12m,15,BR,55.64,0.0,834.6
V000003,P027,Tomada 2P+T,32,UN,14.08,0.0,450.56
V000003,P009,Ferro 10mm 12m,45,BR,55.3,248.85,2239.65
V000003,P019,Rebolo Desbaste 4.5,72,UN,10.49,0.0,755.28
V000003,P002,Cimento CP-V 50kg,62,SC,38.54,71.68,2317.8
V000004,P011,Ferro 12mm 12m,61,BR,75.97,0.0,4634.17
V000004,P004,Areia Fina 20kg,10,SC,11.02,0.0,110.2
V000004,P025,Fio Eletrico 2.5mm 100m,62,RL,241.18,1196.25,13756.91
V000005,P025,Fio Eletrico 2.5mm 100m,89,RL,241.23,1073.47,20396.0
V000005,P026,Disjuntor 20A,90,UN,27.79,0.0,2501.1
V000005,P008,Bloco de Concreto,66,UN,3.84,20.28,233.16
V000005,P020,Broca de Concreto 10mm,21,UN,13.9,0.0,291.9
V000005,P012,Telha Ceramica,63,UN,3.84,12.1,229.82
V000005,P021,Mangueira 1/2 50m,56,RL,66.08,0.0,3700.48
V000005,P007,Tijolo Ceramico 6cm,31,UN,1.02,3.16,28.46
V000006,P022,Tubo PVC 100mm 6m,6,BR,42.21,7.6,245.66
V000006,P024,Joelho PVC 100mm,20,UN,6.95,0.0,139.0
V000006,P003,Areia Media 20kg,18,SC,12.0,0.0,216.0
V000006,P029,Argamassa AC-II 20kg,15,SC,25.6,19.2,364.8
V000006,P011,Ferro 12mm 12m,19,BR,74.15,0.0,1408.85
V000007,P006,Tijolo Ceramico 9cm,10,UN,1.2,0.6,11.4
V000007,P009,Ferro 10mm 12m,61,BR,54.1,99.0,3201.1
V000007,P023,Tubo PVC 50mm 6m,77,BR,27.95,215.22,1936.93
V000007,P025,Fio Eletrico 2.5mm 100m,30,RL,242.66,582.38,6697.42
V000007,P010,Ferro 8mm 12m,82,BR,38.58,0.0,3163.56
V000007,P030,Gesso 20kg,29,SC,18.13,15.77,510.0
V000007,P011,Ferro 12mm 12m,44,BR,74.77,0.0,3289.88
V000007,P012,Telha Ceramica,87,UN,3.77,0.0,327.99
V000008,P012,Telha Ceramica,34,UN,3.75,6.38,121.12
V000008,P001,Cimento CP-II 50kg,47,SC,34.44,0.0,1618.68
V000008,P010,Ferro 8mm 12m,79,BR,38.58,0.0,3047.82
V000008,P006,Tijolo Ceramico 9cm,14,UN,1.22,0.0,17.08
V000008,P007,Tijolo Ceramico 6cm,89,UN,0.99,8.81,79.3
V000008,P011,Ferro 12mm 12m,33,BR,75.81,0.0,2501.73
V000008,P025,Fio Eletrico 2.5mm 100m,31,RL,235.62,0.0,7304.22
V000008,P016,Rejunte 5kg,56,PCT,12.86,0.0,720.16
V000009,P029,Argamassa AC-II 20kg,65,SC,26.33,85.57,1625.88
V000009,P017,Massa Corrida 25kg,54,BD,37.87,0.0,2044.98
V000009,P005,Brita 1 20kg,60,SC,14.84,0.0,890.4
V000009,P027,Tomada 2P+T,20,UN,13.9,8.34,269.66
V000010,P007,Tijolo Ceramico 6cm,2,UN,1.0,0.0,2.0
V000010,P027,Tomada 2P+T,5,UN,14.02,0.0,70.1
V000011,P005,Brita 1 20kg,2,SC,14.84,0.0,29.68
V000011,P010,Ferro 8mm 12m,15,BR,38.26,0.0,573.9
V000011,P014,Tinta Latex 18L,18,GL,87.46,0.0,1574.28
V000012,P012,Telha Ceramica,83,UN,3.78,25.1,288.64
V000012,P015,Tinta Acrilica 18L,93,GL,96.14,268.23,8672.79
V000012,P025,Fio Eletrico 2.5mm 100m,33,RL,238.92,0.0,7884.36
V000012,P003,Areia Media 20kg,81,SC,12.1,78.41,901.69
V000013,P019,Rebolo Desbaste 4.5,98,UN,10.54,0.0,1032.92
V000013,P010,Ferro 8mm 12m,43,BR,38.43,0.0,1652.49
V000013,P026,Disjuntor 20A,84,UN,28.25,0.0,2373.0
V000013,P029,Argamassa AC-II 20kg,84,SC,26.03,0.0,2186.52
V000013,P024,Joelho PVC 100mm,89,UN,6.97,0.0,620.33
V000014,P022,Tubo PVC 100mm 6m,14,BR,42.03,0.0,588.42
V000014,P006,Tijolo Ceramico 9cm,4,UN,1.18,0.0,4.72
V000014,P020,Broca de Concreto 10mm,6,UN,14.24,0.0,85.44
V000014,P028,Impermeabilizante 18L,2,GL,118.73,0.0,237.46
V000015,P014,Tinta Latex 18L,5,GL,90.76,0.0,453.8
V000015,P015,Tinta Acrilica 18L,1,GL,99.91,0.0,99.91
V000016,P025,Fio Eletrico 2.5mm 100m,8,RL,235.52,94.21,1789.95
V000016,P030,Gesso 20kg,3,SC,17.67,0.0,53.01
V000016,P029,Argamassa AC-II 20kg,16,SC,25.71,0.0,411.36
V000016,P001,Cimento CP-II 50kg,3,SC,34.63,3.12,100.77
V000016,P008,Bloco de Concreto,20,UN,3.81,0.0,76.2
V000017,P002,Cimento CP-V 50kg,45,SC,38.1,0.0,1714.5
V000017,P030,Gesso 20kg,14,SC,17.65,19.77,227.33
V000017,P003,Areia Media 20kg,36,SC,12.12,0.0,436.32
V000017,P022,Tubo PVC 100mm 6m,60,BR,41.66,0.0,2499.6
V000018,P024,Joelho PVC 100mm,18,UN,6.97,0.0,125.46
V000018,P029,Argamassa AC-II 20kg,6,SC,25.76,0.0,154.56
V000018,P018,Disco de Corte 4.5,6,UN,7.93,1.43,46.15
V000018,P008,Bloco de Concreto,11,UN,3.74,0.0,41.14
V000018,P019,Rebolo Desbaste 4.5,10,UN,10.59,0.0,105.9
V000019,P019,Rebolo Desbaste 4.5,2,UN,10.38,0.0,20.76
V000019,P014,Tinta Latex 18L,4,GL,90.07,0.0,360.28
V000019,P013,Telha Fibrocimento 2.44m,19,UN,24.83,0.0,471.77
V000020,P007,Tijolo Ceramico 6cm,48,UN,0.98,0.0,47.04
V000020,P014,Tinta Latex 18L,43,GL,88.78,114.53,3703.01
V000020,P004,Areia Fina 20kg,25,SC,10.88,0.0,272.0
V000020,P024,Joelho PVC 100mm,85,UN,7.1,0.0,603.5
V000020,P027,Tomada 2P+T,88,UN,13.81,0.0,1215.28
