id,data,cliente,vendedor,total,desconto,status,canal
V000001,2023-01-03 11:16:00,CLI0015,VEN02,1066.28,0.0,concluida,balcao
V000002,2023-01-03 10:49:00,CLI0041,VEN04,2919.65,33.56,concluida,telefone
V000003,2023-01-03 12:26:00,CLI0092,VEN04,5763.29,320.53,concluida,balcao
V000004,2023-01-03 14:40:00,CLI0096,VEN04,18501.28,1196.25,concluida,balcao
V000005,2023-01-04 11:47:00,CLI0092,VEN03,27380.92,1109.01,concluida,balcao
V000006,2023-01-05 14:56:00,CLI0052,VEN02,2374.31,26.8,concluida,telefone
V000007,2023-01-05 15:07:00,CLI0096,VEN03,19138.28,912.97,concluida,telefone
V000008,2023-01-06 14:39:00,CLI0092,VEN03,15410.11,15.19,concluida,telefone
V000009,2023-01-06 08:53:00,CLI0117,VEN03,4830.92,93.91,concluida,balcao
V000010,2023-01-06 08:49:00,CLI0125,VEN03,72.1,0.0,concluida,balcao
V000011,2023-01-06 15:34:00,CLI0134,VEN01,2177.86,0.0,concluida,telefone
V000012,2023-01-07 10:39:00,CLI0071,VEN03,17747.48,371.74,concluida,telefone
V000013,2023-01-08 17:15:00,CLI0103,VEN01,7865.26,0.0,concluida,balcao
V000014,2023-01-09 11:21:00,CLI0069,VEN03,916.04,0.0,concluida,balcao
V000015,2023-01-09 14:02:00,CLI0125,VEN03,553.71,0.0,concluida,telefone
V000016,2023-01-10 17:52:00,CLI0009,VEN03,2431.29,97.33,concluida,balcao
V000017,2023-01-11 16:15:00,CLI0023,VEN04,4877.75,19.77,concluida,balcao
V000018,2023-01-11 14:38:00,CLI0073,VEN02,473.21,1.43,concluida,telefone
V000019,2023-01-12 14:07:00,CLI0041,VEN03,852.81,0.0,concluida,telefone
V000020,2023-01-12 18:18:00,CLI0103,VEN03,12027.46,114.53,concluida,balcao
V000021,2023-01-13 13:44:00,CLI0020,VEN02,7165.3,606.37,concluida,telefone
V000022,2023-01-13 13:22:00,CLI0034,VEN04,137.9,0.1,concluida,balcao
V000023,2023-01-13 09:24:00,CLI0043,VEN04,677.4,0.0,concluida,balcao
V000024,2023-01-13 14:23:00,CLI0081,VEN04,7550.27,239.91,concluida,balcao
V000025,2023-01-13 07:59:00,CLI0084,VEN04,13121.17,290.64,concluida,balcao
V000026,2023-01-13 13:04:00,CLI0090,VEN01,1149.59,15.28,concluida,telefone
V000027,2023-01-13 14:01:00,CLI0147,VEN04,4627.88,143.0,concluida,telefone
V000028,2023-01-14 12:03:00,CLI0070,VEN01,152.52,0.0,concluida,balcao
V000029,2023-01-14 16:41:00,CLI0128,VEN02,508.84,0.0,concluida,balcao
V000030,2023-01-14 17:18:00,CLI0149,VEN01,12871.69,542.94,concluida,telefone
V000031,2023-01-16 18:45:00,CLI0007,VEN03,276.25,0.0,concluida,telefone
V000032,2023-01-16 10:21:00,CLI0016,VEN02,11508.89,233.0,concluida,telefone
V000033,2023-01-16 08:08:00,CLI0066,VEN04,21.0,0.0,concluida,telefone
V000034,2023-01-16 18:33:00,CLI0073,VEN03,1045.94,0.0,concluida,telefone
V000035,2023-01-16 09:05:00,CLI0132,VEN01,70.45,0.0,concluida,balcao
V000036,2023-01-17 17:51:00,CLI0081,VEN03,7602.43,475.56,concluida,balcao
V000037,2023-01-18 07:44:00,CLI0013,VEN03,385.69,0.0,concluida,balcao
V000038,2023-01-18 18:18:00,CLI0015,VEN01,3100.42,0.0,concluida,telefone
V000039,2023-01-18 08:24:00,CLI0067,VEN03,10659.29,28.2,concluida,balcao
V000040,2023-01-18 09:34:00,CLI0096,VEN02,11859.47,185.79,concluida,balcao
V000041,2023-01-18 15:09:00,CLI0108,VEN02,1068.97,0.0,concluida,balcao
V000042,2023-01-18 08:11:00,CLI0140,VEN01,2004.15,0.0,concluida,balcao
V000043,2023-01-18 10:57:00,CLI0147,VEN03,25045.56,26.83,concluida,balcao
V000044,2023-01-19 11:24:00,CLI0020,VEN02,9874.05,53.73,concluida,telefone
V000045,2023-01-19 14:38:00,CLI0057,VEN01,801.24,0.0,concluida,balcao
V000046,2023-01-19 18:58:00,CLI0076,VEN01,951.63,0.0,concluida,telefone
V000047,2023-01-19 18:38:00,CLI0127,VEN01,1359.91,1.43,concluida,balcao
V000048,2023-01-19 15:00:00,CLI0141,VEN01,825.25,0.0,concluida,balcao
V000049,2023-01-20 16:16:00,CLI0002,VEN04,99.19,0.0,concluida,telefone
